362,800,80,900;362,800,86,400
357,250,80,900;357,250,85,300
362,800,80,900;362,800,79,900;362,500,79,900
357,250,80,900;357,250,79,700;362,000,79,700;362,500,79,900
361,300,87,200;361,300,80,200;362,500,80,200;362,500,79,900
356,950,121,900;356,950,126,100
358,000,121,600;359,500,121,600
359,500,121,600;356,950,121,600
356,950,126,100;356,950,126,350;363,400,126,350;363,400,126,200
369,650,121,900;369,650,125,900
364,300,121,600;367,500,121,600
369,650,121,900;369,650,121,450;363,400,121,450;363,400,126,200
364,300,121,600;364,300,121,450
366,500,126,150;366,500,125,600;363,400,125,600;363,400,126,200
359,350,117,500;359,350,116,750;361,000,116,750;361,000,116,550
360,400,118,300;360,400,116,900;361,000,116,900
357,900,14,800;362,300,14,800
357,900,17,900;362,300,17,900
357,900,21,000;362,300,21,000
362,300,14,800;362,300,21,000
362,300,14,800;362,300,14,400;361,900,14,400
358,200,58,300;361,400,58,300
361,400,58,300;361,400,60,400;362,600,60,400;362,600,60,700
363,900,56,700;369,150,56,700
363,900,58,300;369,150,58,300
363,900,59,900;369,150,59,900
363,900,56,700;363,900,59,900
363,900,59,900;363,900,60,400;362,600,60,400;362,600,60,700
357,600,50,950;360,000,50,950
360,000,50,950;360,000,50,750;360,900,50,750
